image_filename,category_name,xmin,ymin,xmax,ymax,source,pair_id
000015.jpg,long_sleeve_top,74,38,452,709,shop,3
000270.jpg,long_sleeve_dress,251,211,607,748,shop,22
000284.jpg,short_sleeve_dress,184,434,649,1310,shop,23
000287.jpg,trousers,196,359,545,584,shop,23
000287.jpg,short_sleeve_dress,206,144,741,584,shop,23
000321.jpg,short_sleeve_top,198,0,536,118,shop,26
000321.jpg,trousers,134,4,539,648,shop,26
000530.jpg,trousers,400,375,463,467,shop,41
000530.jpg,vest,384,338,428,387,shop,41
000530.jpg,trousers,291,408,489,692,shop,41
000530.jpg,vest,253,300,380,440,shop,41
000563.jpg,skirt,255,321,634,649,shop,44
000563.jpg,vest,334,22,737,428,shop,44
000617.jpg,long_sleeve_outwear,127,143,550,644,shop,46
000617.jpg,shorts,235,372,501,644,shop,46
000630.jpg,skirt,176,581,470,865,shop,47
000630.jpg,long_sleeve_outwear,189,366,500,757,shop,47
000655.jpg,trousers,306,562,556,959,shop,47
000655.jpg,long_sleeve_outwear,245,334,536,705,shop,47
000660.jpg,vest_dress,229,270,565,793,shop,49
000660.jpg,short_sleeve_top,197,261,520,535,shop,49
000665.jpg,vest_dress,40,39,424,691,shop,49
000665.jpg,short_sleeve_top,19,35,418,412,shop,49
000703.jpg,vest_dress,221,175,398,565,shop,53
000703.jpg,short_sleeve_top,215,170,423,376,shop,53
000713.jpg,long_sleeve_dress,220,259,426,547,shop,55
000757.jpg,short_sleeve_outwear,13,105,467,623,user,59
000759.jpg,long_sleeve_outwear,58,32,178,205,user,59
000759.jpg,short_sleeve_outwear,114,0,357,299,user,59
000760.jpg,short_sleeve_outwear,12,265,467,623,user,59
000772.jpg,short_sleeve_dress,0,135,467,467,user,61
000824.jpg,trousers,232,646,413,959,shop,66
000824.jpg,long_sleeve_dress,181,372,475,834,shop,66
000892.jpg,trousers,137,362,287,648,user,70
000892.jpg,short_sleeve_top,135,201,289,389,user,70
000922.jpg,trousers,76,487,371,701,shop,71
000922.jpg,long_sleeve_top,61,60,415,628,shop,71
000938.jpg,long_sleeve_dress,137,87,325,459,user,73
000938.jpg,long_sleeve_outwear,133,88,331,483,user,73
000938.jpg,trousers,181,292,295,533,user,73
001044.jpg,vest_dress,220,54,632,601,shop,86
001066.jpg,long_sleeve_dress,113,101,287,361,user,89
001119.jpg,short_sleeve_dress,236,227,525,532,shop,93
001184.jpg,long_sleeve_outwear,0,8,350,457,user,100
001202.jpg,vest_dress,300,317,568,899,shop,101
001315.jpg,shorts,261,324,646,676,shop,105
001315.jpg,vest,272,19,655,511,shop,105
001318.jpg,shorts,222,500,558,796,shop,105
001318.jpg,vest,248,224,581,643,shop,105
001368.jpg,trousers,385,468,487,726,shop,110
001368.jpg,vest_dress,357,228,510,549,shop,110
001368.jpg,long_sleeve_top,328,217,528,400,shop,110
001386.jpg,trousers,368,579,662,820,shop,112
001386.jpg,short_sleeve_top,235,230,600,687,shop,112
001415.jpg,trousers,64,420,232,701,shop,113
001415.jpg,long_sleeve_outwear,9,155,467,683,shop,113
001425.jpg,long_sleeve_dress,270,237,557,808,shop,114
001525.jpg,long_sleeve_top,3,34,437,513,user,125
001560.jpg,sling_dress,0,0,450,467,user,126
001560.jpg,short_sleeve_top,0,1,467,346,user,126
001655.jpg,long_sleeve_top,338,153,606,410,shop,134
001655.jpg,trousers,426,328,753,592,shop,134
001673.jpg,skirt,86,220,300,406,user,136
001673.jpg,short_sleeve_top,143,81,364,267,user,136
001757.jpg,short_sleeve_top,237,329,435,595,shop,142
001757.jpg,skirt,264,491,422,629,shop,142
001758.jpg,short_sleeve_top,200,337,404,579,shop,142
001758.jpg,skirt,233,480,411,622,shop,142
001795.jpg,short_sleeve_dress,225,192,519,509,shop,145
001797.jpg,short_sleeve_dress,155,226,540,767,shop,145
001830.jpg,short_sleeve_top,249,212,507,447,shop,148
001830.jpg,trousers,271,431,512,885,shop,148
001865.jpg,sling_dress,83,229,452,850,user,153
001865.jpg,short_sleeve_top,67,232,466,652,user,153
001870.jpg,sling_dress,0,0,465,807,user,153
001870.jpg,short_sleeve_top,18,0,465,518,user,153
001911.jpg,vest_dress,174,8,444,449,shop,154
001929.jpg,trousers,353,500,524,767,shop,158
001929.jpg,long_sleeve_outwear,0,209,570,702,shop,158
001929.jpg,shorts,351,492,510,592,shop,158
001973.jpg,skirt,186,290,531,718,shop,161
001973.jpg,vest,382,255,476,387,shop,161
001998.jpg,trousers,198,37,548,506,shop,162
001998.jpg,long_sleeve_top,357,0,575,191,shop,162
002003.jpg,vest_dress,0,33,466,614,user,163
002017.jpg,vest_dress,24,169,397,681,shop,163
002066.jpg,skirt,5,0,410,263,user,168
002105.jpg,skirt,117,153,556,803,shop,172
002105.jpg,long_sleeve_top,1,0,562,261,shop,172
002114.jpg,long_sleeve_outwear,166,153,428,579,shop,173
002114.jpg,trousers,244,383,414,867,shop,173
002152.jpg,long_sleeve_outwear,261,163,504,412,shop,177
002152.jpg,skirt,272,333,569,863,shop,177
002189.jpg,long_sleeve_dress,165,308,294,492,user,181
002276.jpg,sling_dress,114,50,309,386,user,191
002289.jpg,sling_dress,132,200,352,594,shop,191
002338.jpg,long_sleeve_outwear,0,0,466,779,user,199
002366.jpg,skirt,183,448,528,933,shop,200
002366.jpg,long_sleeve_top,13,54,604,492,shop,200
002383.jpg,sling_dress,179,183,327,435,user,201
002403.jpg,short_sleeve_dress,149,302,592,892,shop,202
002486.jpg,sling_dress,315,32,788,915,shop,209
002546.jpg,short_sleeve_dress,259,490,712,1201,shop,212
002648.jpg,skirt,150,405,321,590,user,221
002648.jpg,long_sleeve_top,150,203,301,430,user,221
002670.jpg,shorts,211,545,450,711,shop,222
002670.jpg,long_sleeve_top,80,250,469,633,shop,222
002671.jpg,shorts,206,559,433,761,shop,222
002671.jpg,long_sleeve_top,137,255,521,673,shop,222
002717.jpg,vest,433,606,555,872,shop,225
002717.jpg,trousers,390,785,567,1224,shop,225
002722.jpg,short_sleeve_dress,0,48,350,437,user,226
002753.jpg,skirt,226,690,531,952,shop,227
002753.jpg,short_sleeve_top,168,403,532,745,shop,227
002800.jpg,skirt,203,468,449,725,shop,231
002800.jpg,short_sleeve_top,216,216,466,493,shop,231
002890.jpg,long_sleeve_dress,0,0,268,479,user,244
002898.jpg,long_sleeve_dress,318,125,442,296,shop,244
002918.jpg,skirt,12,556,351,701,shop,245
002918.jpg,long_sleeve_top,24,195,467,701,shop,245
002969.jpg,skirt,82,392,316,615,shop,248
002969.jpg,long_sleeve_top,78,188,343,438,shop,248
002988.jpg,vest_dress,347,167,429,309,shop,249
003035.jpg,short_sleeve_dress,128,176,367,423,shop,252
003057.jpg,shorts,196,438,449,599,shop,254
003057.jpg,vest,100,191,379,507,shop,254
003095.jpg,skirt,306,262,499,457,shop,256
003095.jpg,long_sleeve_top,271,109,501,346,shop,256
003106.jpg,long_sleeve_dress,163,113,310,373,user,257
003111.jpg,long_sleeve_dress,223,126,375,360,shop,257
003121.jpg,long_sleeve_dress,181,143,424,521,shop,257
003213.jpg,trousers,286,305,481,647,shop,263
003213.jpg,long_sleeve_dress,251,50,518,505,shop,263
003217.jpg,trousers,255,318,433,664,shop,263
003217.jpg,long_sleeve_dress,199,39,465,507,shop,263
003300.jpg,trousers,173,325,285,654,shop,269
003300.jpg,long_sleeve_outwear,134,103,330,440,shop,269
003318.jpg,short_sleeve_top,50,0,224,243,user,271
003318.jpg,shorts,25,133,203,311,user,271
003425.jpg,shorts,305,282,448,403,shop,279
003425.jpg,long_sleeve_top,243,132,639,397,shop,279
003443.jpg,skirt,150,67,613,814,shop,280
003443.jpg,long_sleeve_top,212,0,710,136,shop,280
003522.jpg,vest_dress,184,284,541,834,shop,286
003535.jpg,skirt,0,524,318,831,user,287
003535.jpg,vest,95,261,466,783,user,287
003554.jpg,skirt,254,471,415,761,shop,288
003554.jpg,long_sleeve_top,304,346,411,549,shop,288
003586.jpg,vest_dress,246,118,474,407,shop,291
003601.jpg,vest_dress,209,212,485,648,shop,291
003722.jpg,long_sleeve_top,73,272,481,713,shop,300
003722.jpg,trousers,241,589,477,959,shop,300
003803.jpg,shorts,126,371,326,574,shop,305
003803.jpg,vest,166,192,355,400,shop,305
003855.jpg,trousers,86,338,273,680,user,309
003855.jpg,vest,158,163,335,364,user,309
004101.jpg,short_sleeve_top,105,173,406,437,shop,324
004101.jpg,vest_dress,134,176,344,689,shop,324
004168.jpg,long_sleeve_top,484,18,749,248,shop,330
004168.jpg,trousers,211,34,688,458,shop,330
004171.jpg,long_sleeve_top,286,96,467,355,shop,330
004171.jpg,trousers,352,231,529,434,shop,330
004177.jpg,long_sleeve_top,46,159,328,464,user,331
004199.jpg,trousers,98,334,363,622,user,333
004199.jpg,short_sleeve_top,114,159,345,372,user,333
004226.jpg,trousers,94,142,214,412,user,336
004226.jpg,long_sleeve_top,62,22,228,209,user,336
004300.jpg,short_sleeve_top,108,91,218,179,user,342
004300.jpg,skirt,58,150,177,278,user,342
004411.jpg,long_sleeve_dress,152,209,416,587,shop,351
004417.jpg,long_sleeve_top,38,0,467,562,user,353
004417.jpg,sling_dress,68,0,467,398,user,353
004450.jpg,vest_dress,40,277,467,830,user,356
004522.jpg,trousers,220,680,476,959,shop,361
004522.jpg,long_sleeve_outwear,33,200,580,844,shop,361
004543.jpg,trousers,239,423,491,833,shop,361
004543.jpg,long_sleeve_outwear,50,92,500,514,shop,361
004604.jpg,skirt,176,753,492,1124,shop,368
004604.jpg,short_sleeve_top,245,455,509,774,shop,368
004604.jpg,trousers,181,746,475,1124,shop,368
004633.jpg,shorts,112,46,336,216,shop,369
004651.jpg,shorts,1,72,467,350,user,371
